,rank,id,form_id,name,form,alias,move,move_rate,nature,nature_rate,ability,ability_rate,item,item_rate,terastal,terastal_rate
1007-000,8,1007,0,コライドン,,コライドン,"['フレアドライブ', 'アクセルブレイク', 'ニトロチャージ', 'げきりん', 'とんぼがえり', 'つるぎのまい', 'スケイルショット', 'ドレインパンチ', 'インファイト', 'ワイルドボルト']","[73.0, 55.6, 54.7, 34.7, 34.3, 26.8, 26.8, 25.3, 16.1, 15.2]","['ようき', 'いじっぱり', 'しんちょう', 'きまぐれ', 'わんぱく', 'せっかち', 'むじゃき', 'やんちゃ', 'おくびょう', 'まじめ']","[51.2, 46.9, 0.8, 0.4, 0.4, 0.1, 0.1, 0.1, 0.0, 0.0]",['ひひいろのこどう'],[100.0],"['こだわりハチマキ', 'いかさまダイス', 'こだわりスカーフ', 'とつげきチョッキ', 'ラムのみ', 'クリアチャーム', 'いのちのたま', 'たべのこし', 'オボンのみ', 'あついいわ']","[26.0, 23.4, 16.5, 8.9, 7.1, 3.9, 3.4, 3.0, 2.2, 1.3]","['ほのお', 'はがね', 'フェアリー', 'でんき', 'かくとう', 'じめん', 'どく', 'ひこう', 'ノーマル', 'ドラゴン']","[88.7, 4.4, 1.7, 1.6, 1.3, 0.5, 0.4, 0.3, 0.3, 0.3]"
0901-001,9,901,1,ガチグマ,アカツキ,ガチグマ(アカツキ),"['ブラッドムーン', 'だいちのちから', 'しんくうは', 'ハイパーボイス', 'つきのひかり', 'ムーンフォース', 'あくび', 'めいそう', 'ちょうはつ', 'テラバースト']","[98.3, 91.7, 81.9, 60.4, 18.5, 15.7, 14.9, 8.1, 2.5, 1.8]","['ひかえめ', 'れいせい', 'ずぶとい', 'がんばりや', 'おだやか', 'おくびょう', 'のんき', 'なまいき', 'わんぱく', 'まじめ']","[72.1, 15.5, 5.6, 2.7, 2.5, 1.0, 0.4, 0.1, 0.1, 0.0]",['しんがん'],[100.0],"['とつげきチョッキ', 'シルクのスカーフ', 'たべのこし', 'いのちのたま', 'オボンのみ', 'きあいのタスキ', 'ゴツゴツメット', 'のどスプレー', 'おんみつマント', 'イバンのみ']","[52.3, 15.5, 11.6, 5.6, 4.1, 2.7, 1.2, 0.9, 0.9, 0.8]","['ノーマル', 'どく', 'フェアリー', 'みず', 'ゴースト', 'ほのお', 'かくとう', 'はがね', 'くさ', 'でんき']","[67.7, 15.7, 11.9, 2.1, 1.0, 0.4, 0.4, 0.2, 0.1, 0.1]"
1008-000,10,1008,0,ミライドン,,ミライドン,"['イナズマドライブ', 'りゅうせいぐん', 'ボルトチェンジ', 'テラバースト', 'パラボラチャージ', 'とんぼがえり', 'マジカルシャイン', 'りゅうのはどう', 'めいそう', 'オーバーヒート']","[86.9, 75.4, 58.4, 44.0, 31.2, 29.3, 17.6, 13.9, 10.8, 9.5]","['ひかえめ', 'おくびょう', 'ずぶとい', 'きまぐれ', 'おだやか', 'せっかち', 'むじゃき', 'ようき', 'おっとり', 'れいせい']","[55.8, 42.3, 0.7, 0.5, 0.4, 0.1, 0.1, 0.0, 0.0, 0.0]",['ハドロンエンジン'],[100.0],"['とつげきチョッキ', 'こだわりスカーフ', 'こだわりメガネ', 'エレキシード', 'いのちのたま', 'だっしゅつパック', 'グランドコート', 'たべのこし', 'じしゃく', 'じゃくてんほけん']","[34.9, 27.8, 13.1, 8.6, 5.6, 2.7, 1.1, 1.1, 0.8, 0.8]","['でんき', 'こおり', 'フェアリー', 'みず', 'はがね', 'ノーマル', 'ほのお', 'じめん', 'ステラ', 'ドラゴン']","[26.8, 25.8, 19.2, 18.8, 4.7, 1.1, 0.9, 0.7, 0.6, 0.5]"
0892-001,11,892,1,ウーラオス,れんげきのかた,ウーラオス(れんげき),"['すいりゅうれんだ', 'インファイト', 'アクアジェット', 'とんぼがえり', 'アイススピナー', 'ドレインパンチ', 'つるぎのまい', 'れいとうパンチ', 'かみなりパンチ', 'ビルドアップ']","[99.9, 72.8, 69.8, 52.9, 28.6, 24.2, 19.8, 6.7, 6.0, 4.0]","['いじっぱり', 'ようき', 'わんぱく', 'しんちょう', 'やんちゃ', 'さみしがり', 'まじめ', 'のんき', 'むじゃき', 'せっかち']","[74.6, 20.8, 2.8, 0.2, 0.2, 0.2, 0.1, 0.1, 0.1, 0.1]",['ふかしのこぶし'],[100.0],"['こだわりスカーフ', 'きあいのタスキ', 'パンチグローブ', 'こだわりハチマキ', 'ゴツゴツメット', 'しんぴのしずく', 'オボンのみ', 'とつげきチョッキ', 'おんみつマント', 'いのちのたま']","[45.3, 16.6, 14.9, 9.6, 3.4, 2.7, 2.2, 2.1, 0.8, 0.6]","['みず', 'どく', 'はがね', 'でんき', 'フェアリー', 'かくとう', 'じめん', 'ノーマル', 'ほのお', 'ゴースト']","[81.6, 7.6, 2.7, 1.8, 1.5, 1.3, 1.1, 0.8, 0.7, 0.3]"
1018-000,12,1018,0,ブリジュラス,,ブリジュラス,"['ラスターカノン', 'ステルスロック', 'りゅうせいぐん', 'ボディプレス', 'でんじは', 'エレクトロビーム', 'アイアンヘッド', 'ほえる', 'てっぺき', 'ミラーコート']","[52.1, 49.3, 48.0, 47.3, 33.0, 28.7, 18.6, 15.3, 13.7, 10.9]","['ひかえめ', 'わんぱく', 'おくびょう', 'ずぶとい', 'おだやか', 'しんちょう', 'れいせい', 'のんき', 'うっかりや', 'むじゃき']","[29.5, 17.7, 16.0, 13.5, 7.1, 4.3, 2.4, 1.9, 1.7, 1.5]","['じきゅうりょく', 'がんじょう', 'すじがねいり']","[55.0, 44.9, 0.1]","['たべのこし', 'イバンのみ', 'オボンのみ', 'パワフルハーブ', 'ジャポのみ', 'とつげきチョッキ', 'こだわりメガネ', 'ゴツゴツメット', 'メンタルハーブ', 'レッドカード']","[24.6, 17.7, 15.7, 13.4, 6.6, 6.2, 2.8, 2.7, 2.2, 1.6]","['フェアリー', 'ひこう', 'どく', 'ステラ', 'みず', 'ほのお', 'かくとう', 'でんき', 'ゴースト', 'はがね']","[38.2, 10.9, 10.2, 8.4, 7.8, 5.6, 3.6, 3.1, 2.8, 2.3]"
0991-000,13,991,0,テツノツツミ,,テツノツツミ,"['フリーズドライ', 'ハイドロポンプ', 'アンコール', 'クイックターン', 'れいとうビーム', 'みがわり', 'テラバースト', 'ちょうはつ', 'ふぶき', 'こごえるかぜ']","[98.9, 97.8, 55.9, 52.6, 39.1, 30.5, 14.1, 4.0, 1.0, 1.0]","['おくびょう', 'ひかえめ', 'むじゃき', 'せっかち', 'ずぶとい', 'うっかりや', 'ようき', 'おっとり', 'おだやか', 'いじっぱり']","[91.8, 4.3, 2.7, 0.2, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]",['クォークチャージ'],[100.0],"['こだわりメガネ', 'ブーストエナジー', 'きあいのタスキ', 'いのちのたま', 'あつぞこブーツ', 'しんぴのしずく', 'たべのこし', 'こだわりスカーフ', 'とけないこおり', 'こうかくレンズ']","[38.5, 28.0, 12.7, 8.1, 5.6, 1.6, 1.1, 0.7, 0.7, 0.4]","['みず', 'ゴースト', 'こおり', 'じめん', 'ステラ', 'はがね', 'フェアリー', 'ノーマル', 'ほのお', 'どく']","[41.1, 19.6, 15.4, 11.4, 4.0, 2.4, 1.5, 1.2, 1.0, 0.5]"
0450-000,14,450,0,カバルドン,,カバルドン,"['じしん', 'ステルスロック', 'あくび', 'なまける', 'ふきとばし', 'ほえる', 'こおりのキバ', 'じわれ', 'がんせきふうじ', 'かみくだく']","[97.4, 92.4, 90.4, 40.4, 35.2, 30.9, 3.5, 2.5, 1.5, 0.9]","['わんぱく', 'のんき', 'しんちょう', 'なまいき', 'いじっぱり', 'ずぶとい', 'ゆうかん', 'すなお', 'まじめ', 'がんばりや']","[75.8, 13.5, 6.8, 1.0, 0.8, 0.5, 0.2, 0.1, 0.1, 0.1]","['すなおこし', 'すなのちから']","[99.8, 0.2]","['オボンのみ', 'ゴツゴツメット', 'たべのこし', 'メンタルハーブ', 'さらさらいわ', 'フィラのみ', 'とつげきチョッキ', 'アッキのみ', 'おんみつマント', 'こだわりハチマキ']","[57.2, 31.8, 5.7, 1.6, 1.1, 0.4, 0.4, 0.3, 0.3, 0.2]","['はがね', 'フェアリー', 'みず', 'ほのお', 'くさ', 'どく', 'いわ', 'じめん', 'ノーマル', 'ゴースト']","[30.7, 27.4, 16.9, 8.3, 5.0, 3.2, 2.8, 2.1, 1.2, 0.8]"
0861-000,15,861,0,オーロンゲ,,オーロンゲ,"['リフレクター', 'ソウルクラッシュ', 'すてゼリフ', 'ひかりのかべ', 'イカサマ', 'ちょうはつ', 'でんじは', 'ねこだまし', 'ふいうち', 'トリック']","[82.8, 76.5, 67.4, 65.5, 26.9, 26.4, 20.6, 10.4, 7.2, 5.5]","['わんぱく', 'しんちょう', 'おだやか', 'いじっぱり', 'ずぶとい', 'のんき', 'なまいき', 'ようき', 'ゆうかん', 'おくびょう']","[59.4, 16.3, 8.9, 8.9, 1.8, 1.1, 0.6, 0.5, 0.4, 0.3]","['いたずらごころ', 'おみとおし', 'わるいてぐせ']","[99.7, 0.2, 0.1]","['ひかりのねんど', 'たべのこし', 'こうこうのしっぽ', 'オボンのみ', 'こだわりハチマキ', 'とつげきチョッキ', 'ゴツゴツメット', 'きあいのタスキ', 'こだわりスカーフ', 'メンタルハーブ']","[70.7, 18.1, 3.3, 2.2, 1.0, 0.8, 0.6, 0.6, 0.4, 0.2]","['ほのお', 'はがね', 'じめん', 'フェアリー', 'あく', 'どく', 'みず', 'ゴースト', 'ノーマル', 'くさ']","[49.7, 18.6, 7.9, 7.1, 4.8, 4.4, 2.9, 1.3, 0.6, 0.6]"
0977-000,16,977,0,ヘイラッシャ,,ヘイラッシャ,"['ねむる', 'じわれ', 'あくび', 'ウェーブタックル', 'まもる', 'ゆきなだれ', 'ねごと', 'ボディプレス', 'ヘビーボンバー', 'アクアブレイク']","[73.4, 63.6, 57.5, 53.0, 43.0, 29.7, 21.3, 12.1, 10.7, 10.6]","['わんぱく', 'のんき', 'しんちょう', 'いじっぱり', 'ずぶとい', 'なまいき', 'ゆうかん', 'のうてんき', 'まじめ', 'さみしがり']","[88.6, 4.0, 2.7, 1.6, 1.0, 0.7, 0.4, 0.1, 0.1, 0.1]","['てんねん', 'どんかん', 'みずのベール']","[99.2, 0.6, 0.2]","['たべのこし', 'ゴツゴツメット', 'おんみつマント', 'カゴのみ', 'とつげきチョッキ', 'オボンのみ', 'タラプのみ', 'こだわりハチマキ', 'とくせいガード', 'ラムのみ']","[47.2, 45.0, 2.2, 1.6, 1.1, 0.7, 0.6, 0.4, 0.3, 0.2]","['フェアリー', 'くさ', 'どく', 'はがね', 'じめん', 'ゴースト', 'ほのお', 'ドラゴン', 'ノーマル', 'ひこう']","[73.4, 5.7, 4.0, 3.6, 2.6, 2.4, 2.2, 1.2, 1.1, 1.0]"
0812-000,17,812,0,ゴリランダー,,ゴリランダー,"['グラススライダー', 'はたきおとす', 'とんぼがえり', 'ドラムアタック', '１０まんばりき', 'ウッドハンマー', 'テラバースト', 'つるぎのまい', 'ちょうはつ', 'アクロバット']","[96.9, 85.5, 80.8, 49.2, 45.5, 9.2, 9.1, 5.9, 3.2, 3.1]","['いじっぱり', 'しんちょう', 'ゆうかん', 'ようき', 'なまいき', 'わんぱく', 'のんき', 'さみしがり', 'おだやか', 'おとなしい']","[69.5, 19.5, 4.2, 3.2, 1.7, 0.9, 0.2, 0.1, 0.1, 0.1]","['グラスメイカー', 'しんりょく']","[99.8, 0.2]","['とつげきチョッキ', 'こだわりハチマキ', 'グラスシード', 'きあいのタスキ', 'グランドコート', 'いのちのたま', 'きせきのタネ', 'オボンのみ', 'たべのこし', 'おんみつマント']","[74.8, 9.5, 5.3, 2.5, 2.1, 1.4, 0.9, 0.9, 0.7, 0.3]","['ノーマル', 'くさ', 'ほのお', 'いわ', 'フェアリー', 'どく', 'こおり', 'はがね', 'みず', 'あく']","[30.3, 21.4, 16.1, 10.1, 7.5, 2.7, 2.6, 2.2, 1.7, 1.7]"
1004-000,18,1004,0,イーユイ,,イーユイ,"['あくのはどう', 'オーバーヒート', 'かえんほうしゃ', 'サイコキネシス', 'テラバースト', 'ふんえん', 'バークアウト', 'わるだくみ', 'おにび', 'ちょうはつ']","[98.8, 84.4, 81.2, 47.9, 33.4, 11.7, 10.1, 6.0, 5.8, 4.5]","['ひかえめ', 'おくびょう', 'おだやか', 'おっとり', 'ずぶとい', 'せっかち', 'まじめ', 'うっかりや', 'れいせい', 'すなお']","[69.0, 29.2, 0.4, 0.3, 0.2, 0.1, 0.1, 0.1, 0.1, 0.1]",['わざわいのたま'],[100.0],"['こだわりスカーフ', 'こだわりメガネ', 'きあいのタスキ', 'とつげきチョッキ', 'いのちのたま', 'ラムのみ', 'たべのこし', 'だっしゅつパック', 'あつぞこブーツ', 'ふうせん']","[69.5, 14.5, 6.4, 5.1, 0.8, 0.7, 0.6, 0.3, 0.3, 0.2]","['ほのお', 'フェアリー', 'あく', 'くさ', 'ステラ', 'ゴースト', 'じめん', 'いわ', 'こおり', 'みず']","[34.7, 20.4, 12.8, 11.2, 6.5, 5.1, 2.5, 1.5, 1.3, 1.3]"
0212-000,19,212,0,ハッサム,,ハッサム,"['バレットパンチ', 'とんぼがえり', 'はたきおとす', 'つるぎのまい', 'ダブルウイング', 'インファイト', 'テラバースト', 'かわらわり', 'どろぼう', 'カウンター']","[99.9, 76.3, 73.5, 45.4, 41.9, 31.9, 5.2, 4.5, 3.7, 3.0]","['いじっぱり', 'わんぱく', 'ゆうかん', 'しんちょう', 'のんき', 'なまいき', 'ようき', 'さみしがり', 'やんちゃ', 'がんばりや']","[82.5, 5.8, 4.2, 2.4, 2.2, 0.8, 0.6, 0.3, 0.2, 0.1]","['テクニシャン', 'むしのしらせ', 'ライトメタル']","[99.2, 0.6, 0.2]","['オボンのみ', 'とつげきチョッキ', 'こだわりハチマキ', 'ゴツゴツメット', 'きあいのタスキ', 'たべのこし', 'いのちのたま', 'ラムのみ', 'メタルコート', 'パンチグローブ']","[28.6, 26.5, 15.3, 8.2, 5.4, 4.7, 3.4, 2.0, 1.1, 0.6]","['はがね', 'あく', 'みず', 'ひこう', 'ノーマル', 'ほのお', 'じめん', 'ドラゴン', 'いわ', 'かくとう']","[25.9, 20.8, 17.3, 12.4, 8.3, 6.5, 3.0, 2.0, 0.8, 0.8]"
0594-000,20,594,0,ママンボウ,,ママンボウ,"['クイックターン', 'ミラーコート', 'アクアジェット', 'ねっとう', 'こごえるかぜ', 'ねがいごと', 'まもる', 'じゃれつく', 'アクアブレイク', 'うずしお']","[99.4, 78.1, 63.9, 52.6, 49.7, 23.8, 14.2, 7.9, 2.5, 1.7]","['のんき', 'なまいき', 'わんぱく', 'しんちょう', 'ずぶとい', 'おだやか', 'ゆうかん', 'いじっぱり', 'おとなしい', 'ひかえめ']","[50.9, 43.3, 1.5, 1.3, 1.2, 0.7, 0.2, 0.2, 0.1, 0.1]","['さいせいりょく', 'いやしのこころ', 'うるおいボディ']","[99.3, 0.4, 0.4]","['とつげきチョッキ', 'ゴツゴツメット', 'たべのこし', 'オボンのみ', 'おんみつマント', 'こだわりハチマキ', 'あつぞこブーツ', 'こうこうのしっぽ', 'きあいのタスキ', 'ひかりのこな']","[76.5, 16.5, 5.1, 0.8, 0.2, 0.1, 0.1, 0.1, 0.1, 0.1]","['どく', 'フェアリー', 'じめん', 'はがね', 'ノーマル', 'でんき', 'くさ', 'みず', 'ほのお', 'あく']","[52.1, 18.7, 9.8, 5.9, 4.4, 4.0, 1.9, 1.5, 0.7, 0.5]"
0903-000,21,903,0,オオニューラ,,オオニューラ,"['フェイタルクロー', 'インファイト', 'どくびし', 'ねこだまし', 'つるぎのまい', 'シャドークロー', 'アクロバット', 'じごくづき', 'テラバースト', 'ちょうはつ']","[93.9, 90.7, 38.5, 36.0, 33.6, 32.7, 24.0, 8.1, 6.0, 5.3]","['いじっぱり', 'ようき', 'やんちゃ', 'むじゃき', 'さみしがり', 'わんぱく', 'せっかち', 'しんちょう', 'きまぐれ', 'おとなしい']","[67.5, 23.5, 3.7, 2.3, 0.9, 0.6, 0.5, 0.3, 0.1, 0.1]","['かるわざ', 'どくしゅ', 'プレッシャー']","[82.3, 17.4, 0.3]","['きあいのタスキ', 'エレキシード', 'ノーマルジュエル', 'サイコシード', 'オボンのみ', 'グラスシード', 'こだわりスカーフ', 'チイラのみ', 'ふうせん', 'レッドカード']","[41.0, 26.7, 13.8, 6.9, 2.7, 2.6, 1.7, 1.2, 0.9, 0.6]","['ひこう', 'ゴースト', 'あく', 'かくとう', 'こおり', 'じめん', 'ステラ', 'みず', 'どく', 'ノーマル']","[46.1, 16.8, 9.3, 8.0, 4.7, 4.0, 3.4, 2.3, 1.5, 1.4]"
