,rank,id,form_id,name,form,alias,move,move_rate,nature,nature_rate,ability,ability_rate,item,item_rate,terastal,terastal_rate
0038-001,11,38,1,キュウコン,アローラのすがた,キュウコン(アローラ),"['オーロラベール', 'ふぶき', 'アンコール', 'ムーンフォース', 'フリーズドライ', 'テラバースト', 'ミストフィールド', 'いたみわけ', 'かなしばり', 'わるだくみ']","[93.1, 70.6, 67.6, 46.9, 44.4, 26.0, 17.4, 5.3, 3.9, 3.8]","['おくびょう', 'ひかえめ', 'ずぶとい', 'おだやか', 'がんばりや', 'ようき', 'すなお', 'せっかち', 'わんぱく', 'おっとり']","[92.2, 4.7, 1.3, 0.6, 0.2, 0.2, 0.1, 0.1, 0.1, 0.1]","['ゆきふらし', 'ゆきがくれ']","[99.8, 0.2]","['ひかりのねんど', 'とけないこおり', 'こだわりメガネ', 'いのちのたま', 'つめたいいわ', 'ゴツゴツメット', 'きあいのタスキ', 'あつぞこブーツ', 'ラムのみ', 'たつじんのおび']","[73.5, 13.4, 5.4, 1.4, 1.4, 1.2, 0.9, 0.4, 0.3, 0.3]","['ほのお', 'みず', 'こおり', 'じめん', 'ゴースト', 'はがね', 'あく', 'どく', 'かくとう', 'ステラ']","[65.7, 12.1, 6.1, 5.1, 4.8, 1.7, 1.3, 0.7, 0.6, 0.4]"
0903-000,12,903,0,オオニューラ,,オオニューラ,"['インファイト', 'フェイタルクロー', 'つるぎのまい', 'シャドークロー', 'ねこだまし', 'じごくづき', 'アクロバット', 'テラバースト', 'どくびし', 'とんぼがえり']","[95.3, 89.8, 42.7, 38.7, 31.4, 27.6, 16.8, 12.1, 9.7, 6.8]","['いじっぱり', 'ようき', 'やんちゃ', 'むじゃき', 'わんぱく', 'しんちょう', 'さみしがり', 'せっかち', 'がんばりや', 'ゆうかん']","[74.7, 21.1, 0.9, 0.8, 0.7, 0.3, 0.3, 0.2, 0.1, 0.1]","['かるわざ', 'どくしゅ', 'プレッシャー']","[72.0, 27.8, 0.2]","['サイコシード', 'きあいのタスキ', 'ノーマルジュエル', 'オボンのみ', 'こだわりハチマキ', 'ふうせん', 'でかいきんのたま', 'こだわりスカーフ', 'たつじんのおび', 'グラスシード']","[31.8, 28.3, 10.6, 8.3, 3.7, 3.0, 2.1, 1.9, 1.8, 1.5]","['ゴースト', 'ひこう', 'あく', 'こおり', 'ステラ', 'かくとう', 'みず', 'ほのお', 'じめん', 'フェアリー']","[26.3, 24.6, 20.7, 8.1, 5.0, 4.3, 3.9, 3.2, 1.2, 0.8]"
0887-000,13,887,0,ドラパルト,,ドラパルト,"['とんぼがえり', 'ドラゴンアロー', 'りゅうせいぐん', 'シャドーボール', 'テラバースト', 'ふいうち', 'たたりめ', 'おにび', 'ゴーストダイブ', 'かえんほうしゃ']","[55.6, 49.6, 43.2, 41.7, 39.3, 23.1, 21.9, 14.4, 13.6, 13.4]","['おくびょう', 'ひかえめ', 'いじっぱり', 'ようき', 'むじゃき', 'うっかりや', 'やんちゃ', 'せっかち', 'おっとり', 'さみしがり']","[24.2, 23.3, 22.1, 17.9, 5.8, 1.9, 1.1, 1.0, 0.7, 0.7]","['すりぬけ', 'のろわれボディ', 'クリアボディ']","[85.2, 8.6, 6.2]","['こだわりメガネ', 'こだわりハチマキ', 'いのちのたま', 'ひかりのねんど', 'きあいのタスキ', 'たべのこし', 'こだわりスカーフ', 'ラムのみ', 'だっしゅつパック', 'こうかくレンズ']","[29.9, 27.7, 13.1, 9.1, 8.3, 2.0, 1.8, 1.6, 1.1, 0.6]","['ゴースト', 'ドラゴン', 'ステラ', 'かくとう', 'ほのお', 'はがね', 'フェアリー', 'でんき', 'ノーマル', 'みず']","[34.7, 18.9, 11.2, 7.8, 7.3, 7.1, 4.8, 4.0, 1.1, 0.7]"
0472-000,14,472,0,グライオン,,グライオン,"['まもる', 'みがわり', 'どくどく', 'じしん', 'はたきおとす', 'じごくづき', 'ちょうはつ', 'なげつける', 'つるぎのまい', 'どくびし']","[89.7, 84.6, 61.3, 42.2, 31.7, 22.7, 14.2, 11.8, 7.4, 6.4]","['ようき', 'わんぱく', 'しんちょう', 'いじっぱり', 'おくびょう', 'きまぐれ', 'なまいき', 'のんき', 'ずぶとい', 'むじゃき']","[69.5, 13.6, 8.7, 6.0, 0.7, 0.3, 0.2, 0.2, 0.1, 0.1]","['ポイズンヒール', 'かいりきバサミ', 'すながくれ']","[98.7, 1.2, 0.1]","['どくどくだま', 'こだわりハチマキ', 'こだわりスカーフ', 'でんきだま', 'いかさまダイス', 'いのちのたま', 'きあいのタスキ', 'とつげきチョッキ', 'レッドカード', 'しろいハーブ']","[98.0, 0.4, 0.3, 0.3, 0.3, 0.2, 0.2, 0.1, 0.1, 0.0]","['はがね', 'みず', 'フェアリー', 'ノーマル', 'こおり', 'あく', 'ひこう', 'じめん', 'でんき', 'ほのお']","[78.6, 9.5, 3.9, 2.1, 1.9, 1.4, 0.9, 0.4, 0.3, 0.3]"
0998-000,15,998,0,セグレイブ,,セグレイブ,"['じしん', 'こおりのつぶて', 'つららばり', 'つららおとし', 'きょけんとつげき', 'りゅうのまい', 'テラバースト', 'スケイルショット', 'かわらわり', 'つるぎのまい']","[87.3, 73.8, 54.2, 42.4, 41.4, 31.4, 18.2, 17.9, 17.6, 9.9]","['いじっぱり', 'ようき', 'わんぱく', 'しんちょう', 'さみしがり', 'がんばりや', 'やんちゃ', 'きまぐれ', 'すなお', 'のうてんき']","[69.1, 28.9, 0.4, 0.2, 0.2, 0.1, 0.1, 0.1, 0.1, 0.1]","['ねつこうかん', 'アイスボディ']","[99.2, 0.8]","['とつげきチョッキ', 'いかさまダイス', 'いのちのたま', 'こだわりハチマキ', 'きあいのタスキ', 'こだわりスカーフ', 'オボンのみ', 'ラムのみ', 'じゃくてんほけん', 'とけないこおり']","[39.9, 37.2, 9.1, 7.4, 2.8, 0.8, 0.8, 0.4, 0.3, 0.2]","['じめん', 'でんき', 'ゴースト', 'こおり', 'はがね', 'フェアリー', 'ほのお', 'ドラゴン', 'どく', 'みず']","[69.4, 14.9, 3.8, 2.4, 2.1, 2.1, 1.6, 1.2, 1.0, 0.8]"
0911-000,16,911,0,ラウドボーン,,ラウドボーン,"['フレアソング', 'なまける', 'おにび', 'たたりめ', 'あくび', 'シャドーボール', 'みわくのボイス', 'だいちのちから', 'テラバースト', 'みがわり']","[99.8, 92.0, 57.6, 35.9, 30.4, 27.3, 15.8, 10.6, 8.0, 4.6]","['ずぶとい', 'おだやか', 'ひかえめ', 'おくびょう', 'のんき', 'れいせい', 'きまぐれ', 'なまいき', 'がんばりや', 'わんぱく']","[61.6, 21.9, 12.1, 1.8, 0.4, 0.3, 0.3, 0.3, 0.2, 0.2]","['てんねん', 'もうか']","[99.2, 0.8]","['たべのこし', 'あつぞこブーツ', 'おんみつマント', 'オボンのみ', 'ゴツゴツメット', 'とつげきチョッキ', 'のどスプレー', 'からぶりほけん', 'こだわりスカーフ', 'ラムのみ']","[32.8, 17.8, 17.5, 10.1, 4.6, 2.9, 2.4, 2.1, 1.5, 1.0]","['フェアリー', 'みず', 'ノーマル', 'あく', 'くさ', 'ほのお', 'ひこう', 'どく', 'はがね', 'かくとう']","[38.0, 27.5, 10.6, 7.8, 6.2, 4.1, 2.9, 1.4, 0.6, 0.2]"
0979-000,17,979,0,コノヨザル,,コノヨザル,"['ふんどのこぶし', 'ドレインパンチ', 'いのちがけ', 'ビルドアップ', 'ちょうはつ', 'ステルスロック', 'がんせきふうじ', 'インファイト', 'アンコール', 'なげつける']","[94.0, 71.7, 42.9, 37.4, 36.5, 31.0, 17.8, 11.3, 9.9, 9.2]","['ようき', 'いじっぱり', 'しんちょう', 'わんぱく', 'ゆうかん', 'せっかち', 'がんばりや', 'おくびょう', 'れいせい', 'やんちゃ']","[69.2, 20.2, 5.3, 3.6, 0.2, 0.2, 0.2, 0.1, 0.1, 0.1]","['やるき', 'まけんき', 'せいしんりょく']","[63.7, 34.0, 2.3]","['オボンのみ', 'とつげきチョッキ', 'たべのこし', 'でんきだま', 'こだわりスカーフ', 'きあいのタスキ', 'パンチグローブ', 'おんみつマント', 'ものまねハーブ', 'ラムのみ']","[22.8, 19.7, 17.8, 10.0, 9.4, 6.3, 2.7, 2.3, 1.6, 1.3]","['ほのお', 'はがね', 'どく', 'ノーマル', 'みず', 'フェアリー', 'かくとう', 'ゴースト', 'ひこう', 'あく']","[37.8, 24.3, 10.5, 8.0, 4.4, 3.1, 3.1, 2.7, 2.2, 1.4]"
0977-000,18,977,0,ヘイラッシャ,,ヘイラッシャ,"['まもる', 'じわれ', 'ゆきなだれ', 'ねむる', 'あくび', 'ウェーブタックル', 'じしん', 'ねごと', 'アクアブレイク', 'のろい']","[65.5, 64.0, 63.8, 56.1, 55.8, 37.6, 17.2, 11.2, 7.3, 7.2]","['わんぱく', 'いじっぱり', 'しんちょう', 'のんき', 'ずぶとい', 'なまいき', 'ゆうかん', 'てれや', 'ようき', 'すなお']","[77.9, 13.0, 4.4, 2.2, 0.7, 0.6, 0.5, 0.1, 0.1, 0.1]","['てんねん', 'どんかん', 'みずのベール']","[99.5, 0.3, 0.2]","['たべのこし', 'ゴツゴツメット', 'オボンのみ', 'とつげきチョッキ', 'カゴのみ', 'おんみつマント', 'こだわりハチマキ', 'ラムのみ', 'タラプのみ', 'せんせいのツメ']","[75.5, 11.1, 5.1, 2.8, 1.5, 1.1, 0.9, 0.6, 0.6, 0.2]","['フェアリー', 'はがね', 'くさ', 'ゴースト', 'あく', 'ほのお', 'じめん', 'どく', 'みず', 'ひこう']","[61.0, 12.7, 7.6, 3.7, 3.1, 2.3, 1.8, 1.7, 1.2, 1.1]"
0635-000,19,635,0,サザンドラ,,サザンドラ,"['あくのはどう', 'ラスターカノン', 'りゅうせいぐん', 'わるだくみ', 'みがわり', 'ちょうはつ', 'かえんほうしゃ', 'だいもんじ', 'とんぼがえり', 'テラバースト']","[96.7, 66.8, 58.2, 34.5, 25.7, 23.2, 19.0, 12.5, 12.4, 11.2]","['おくびょう', 'ひかえめ', 'おっとり', 'むじゃき', 'ようき', 'いじっぱり', 'うっかりや', 'ずぶとい', 'おだやか', 'せっかち']","[76.9, 20.2, 0.4, 0.3, 0.3, 0.3, 0.2, 0.2, 0.2, 0.2]",['ふゆう'],[100.0],"['こだわりメガネ', 'たべのこし', 'こだわりスカーフ', 'いのちのたま', 'きあいのタスキ', 'くろいメガネ', 'オボンのみ', 'とつげきチョッキ', 'ラムのみ', 'ピントレンズ']","[41.1, 16.9, 9.5, 7.3, 5.2, 3.9, 3.0, 2.5, 1.8, 1.2]","['はがね', 'どく', 'フェアリー', 'でんき', 'ゴースト', 'あく', 'ほのお', 'ドラゴン', 'ステラ', 'みず']","[66.6, 17.0, 3.8, 3.2, 2.7, 2.5, 2.1, 0.8, 0.4, 0.3]"
0594-000,20,594,0,ママンボウ,,ママンボウ,"['クイックターン', 'ミラーコート', 'アクアジェット', 'ねっとう', 'こごえるかぜ', 'じゃれつく', 'ねがいごと', 'みわくのボイス', 'まもる', 'ひやみず']","[99.2, 91.2, 76.3, 66.7, 22.3, 13.1, 9.6, 7.9, 4.8, 1.3]","['なまいき', 'のんき', 'わんぱく', 'しんちょう', 'おだやか', 'ずぶとい', 'ゆうかん', 'いじっぱり', 'れいせい', 'まじめ']","[64.6, 31.0, 1.0, 1.0, 0.7, 0.5, 0.4, 0.2, 0.1, 0.1]","['さいせいりょく', 'うるおいボディ', 'いやしのこころ']","[99.7, 0.2, 0.1]","['とつげきチョッキ', 'ゴツゴツメット', 'たべのこし', 'オボンのみ', 'しめったいわ', 'こだわりハチマキ', 'こうこうのしっぽ', 'ひかりのこな', 'おんみつマント', 'マゴのみ']","[91.6, 5.1, 1.7, 0.5, 0.2, 0.2, 0.1, 0.1, 0.1, 0.1]","['どく', 'フェアリー', 'ゴースト', 'はがね', 'くさ', 'みず', 'あく', 'でんき', 'ノーマル', 'ドラゴン']","[35.5, 28.1, 22.2, 6.1, 2.4, 1.9, 1.7, 0.7, 0.4, 0.4]"
0212-000,21,212,0,ハッサム,,ハッサム,"['バレットパンチ', 'はたきおとす', 'つるぎのまい', 'とんぼがえり', 'インファイト', 'ダブルウイング', 'かわらわり', 'どろぼう', 'テラバースト', 'みがわり']","[99.6, 67.7, 61.7, 49.6, 43.2, 39.1, 15.0, 5.7, 5.2, 1.5]","['いじっぱり', 'わんぱく', 'ゆうかん', 'しんちょう', 'ようき', 'のんき', 'やんちゃ', 'うっかりや', 'なまいき', 'れいせい']","[88.5, 4.6, 2.3, 1.4, 1.2, 1.0, 0.2, 0.1, 0.1, 0.1]","['テクニシャン', 'むしのしらせ', 'ライトメタル']","[99.5, 0.3, 0.1]","['オボンのみ', 'こだわりハチマキ', 'たべのこし', 'いのちのたま', 'とつげきチョッキ', 'ゴツゴツメット', 'ラムのみ', 'きあいのタスキ', 'メタルコート', 'たつじんのおび']","[31.1, 19.2, 11.8, 10.0, 9.9, 5.9, 4.0, 1.1, 1.0, 0.8]","['ひこう', 'はがね', 'ほのお', 'あく', 'みず', 'かくとう', 'ドラゴン', 'ノーマル', 'ステラ', 'じめん']","[32.9, 18.9, 15.9, 12.2, 12.1, 1.6, 1.3, 1.3, 0.9, 0.8]"
0876-000,22,876,0,イエッサン,オスのすがた,イエッサン(オス),"['ワイドフォース', 'マジカルシャイン', 'アンコール', 'トリック', 'いやしのねがい', 'サイコショック', 'シャドーボール', 'サイコノイズ', 'ハイパーボイス', 'トリックルーム']","[99.0, 86.3, 64.8, 41.6, 24.1, 23.6, 22.4, 14.6, 5.0, 4.7]","['おくびょう', 'ひかえめ', 'れいせい', 'ずぶとい', 'のんき', 'おだやか', 'せっかち', 'ようき', 'おっとり', 'がんばりや']","[49.7, 45.7, 1.8, 0.8, 0.5, 0.3, 0.2, 0.2, 0.1, 0.1]","['サイコメイカー', 'シンクロ', 'せいしんりょく']","[99.9, 0.0, 0.0]","['こだわりスカーフ', 'グランドコート', 'こだわりメガネ', 'きあいのタスキ', 'まがったスプーン', 'いのちのたま', 'サイコシード', 'だっしゅつボタン', 'イバンのみ', 'ウイのみ']","[47.5, 29.4, 15.4, 5.8, 0.5, 0.4, 0.3, 0.2, 0.1, 0.1]","['エスパー', 'フェアリー', 'かくとう', 'ほのお', 'ステラ', 'ノーマル', 'はがね', 'あく', 'むし', 'こおり']","[89.5, 6.4, 2.1, 0.8, 0.4, 0.3, 0.1, 0.1, 0.1, 0.1]"
0956-000,23,956,0,クエスパトラ,,クエスパトラ,"['ルミナコリジョン', 'まもる', 'めいそう', 'バトンタッチ', 'マジカルシャイン', 'テラバースト', 'シャドーボール', 'アシストパワー', 'みがわり', 'はねやすめ']","[78.1, 71.1, 50.3, 48.6, 36.4, 31.9, 26.8, 18.0, 11.9, 10.0]","['ひかえめ', 'ずぶとい', 'おくびょう', 'おだやか', 'しんちょう', 'きまぐれ', 'のんき', 'まじめ', 'れいせい', 'せっかち']","[51.1, 31.5, 13.7, 2.8, 0.2, 0.1, 0.1, 0.1, 0.1, 0.1]","['かそく', 'びんじょう', 'おみとおし']","[99.5, 0.4, 0.1]","['きあいのタスキ', 'オボンのみ', 'たべのこし', 'アッキのみ', 'ラムのみ', 'メンタルハーブ', 'ひかりのねんど', 'おんみつマント', 'ものまねハーブ', 'こだわりメガネ']","[38.5, 31.0, 9.8, 5.7, 2.9, 2.2, 1.4, 0.7, 0.7, 0.6]","['かくとう', 'ノーマル', 'フェアリー', 'ほのお', 'あく', 'はがね', 'みず', 'エスパー', 'ゴースト', 'じめん']","[37.9, 16.6, 16.5, 14.7, 4.3, 3.9, 2.5, 1.4, 1.1, 0.5]"
